"","userId","movieId","rating","timestamp","title","genres"
"3531748",25360,27831,3.5,1230290170,"Layer Cake (2004)","Action|Crime|Drama|Thriller"
"2702976",19574,205,2.5,1124965420,"Unstrung Heroes (1995)","Comedy|Drama"
"9926839",71105,2243,5,959737785,"Broadcast News (1987)","Comedy|Drama|Romance"
"6334909",45232,2011,3,1106483788,"Back to the Future Part II (1989)","Action|Adventure|Comedy|Sci-Fi"
"2132202",15528,597,2,1167889964,"Pretty Woman (1990)","Comedy|Romance"
"1293633",9495,4727,4.5,1054239121,"Captain Corelli's Mandolin (2001)","Drama|Romance|War"
"9240910",66241,2294,5,940810968,"Antz (1998)","Adventure|Animation|Children|Comedy|Fantasy"
"5987352",42707,1641,3,1070894227,"Full Monty, The (1997)","Comedy|Drama"
"9761735",69970,1967,3,1132882568,"Labyrinth (1986)","Adventure|Children|Fantasy"
"7317954",52303,52,1,854719018,"Mighty Aphrodite (1995)","Comedy|Drama|Romance"
"3567121",25603,1265,5,965164266,"Groundhog Day (1993)","Comedy|Fantasy|Romance"
"1482053",10864,2105,4,962601888,"Tron (1982)","Action|Adventure|Animation|Sci-Fi|Thriller"
"130602",1026,5504,2.5,1135478586,"Spy Kids 2: The Island of Lost Dreams (2002)","Adventure|Children"
"7155841",51167,3983,5,1043715232,"You Can Count on Me (2000)","Drama"
"1031903",7734,529,3,863948106,"Searching for Bobby Fischer (1993)","Drama"
"4462481",31817,2100,2.5,1144895095,"Splash (1984)","Comedy|Fantasy|Romance"
"6401083",45746,750,5,944933168,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)","Comedy|War"
"9918399",71043,367,3,1077418064,"Mask, The (1994)","Action|Comedy|Crime|Fantasy"
"4955730",35396,2169,2.5,1101885557,"Dead Man on Campus (1998)","Comedy"
"4843399",34644,2495,3,975137879,"Fantastic Planet, The (La Planète sauvage) (1973)","Animation|Sci-Fi"
"1734587",12723,1375,4,942926635,"Star Trek III: The Search for Spock (1984)","Action|Adventure|Sci-Fi"
"7548081",53961,922,3,995863820,"Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)","Drama|Film-Noir|Romance"
"4538651",32370,272,4,846471624,"Madness of King George, The (1994)","Comedy|Drama"
"5111644",36586,2404,3,1079470700,"Rambo III (1988)","Action|Adventure|War"
"2075681",15101,1719,4,950506034,"Sweet Hereafter, The (1997)","Drama"
"2286791",16629,6291,3.5,1163001762,"Lilya 4-Ever (Lilja 4-ever) (2002)","Drama"
"5956833",42496,1198,4,863999500,"Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)","Action|Adventure"
"5748619",41058,4349,4,992283692,"Catch-22 (1970)","Comedy|War"
"770910",5843,1376,2,1025312635,"Star Trek IV: The Voyage Home (1986)","Adventure|Comedy|Sci-Fi"
"355607",2783,627,4.5,1085505310,"Last Supper, The (1995)","Drama|Thriller"
"6428054",45975,132,1,854219269,"Jade (1995)","Thriller"
"9286193",66588,7618,3,1111657704,"Chaplin (1992)","Drama"
"5980630",42659,22,3,831723715,"Copycat (1995)","Crime|Drama|Horror|Mystery|Thriller"
"5608966",40084,480,4.5,1148734481,"Jurassic Park (1993)","Action|Adventure|Sci-Fi|Thriller"
"5260208",37631,2436,3,942083406,"Tea with Mussolini (1999)","Comedy|Drama|War"
"9850911",70556,457,4,961262772,"Fugitive, The (1993)","Thriller"
"5076352",36294,428,3,1102809637,"Bronx Tale, A (1993)","Drama"
"6827956",48784,4969,3,1107374927,"And Then There Were None (1945)","Crime|Mystery"
"6015155",42875,783,2,1177325037,"Hunchback of Notre Dame, The (1996)","Animation|Children|Musical"
"2388988",17313,3551,4,1194661261,"Marathon Man (1976)","Crime|Drama|Thriller"
"2581980",18693,39,3.5,1059428140,"Clueless (1995)","Comedy|Romance"
"7293078",52129,2082,2,1180851266,"Mighty Ducks, The (1992)","Children|Comedy"
"4525403",32283,4745,4,1001086863,"O (2001)","Drama"
"1751460",12829,1910,4,1028831458,"I Went Down (1997)","Action|Comedy|Crime"
"7466919",53385,514,4,834655916,"Ref, The (1994)","Comedy"
"1049865",7856,105,4,952033178,"Bridges of Madison County, The (1995)","Drama|Romance"
"8645719",61915,916,5,1022211281,"Roman Holiday (1953)","Comedy|Romance"
"6146206",43935,743,3,837035455,"Spy Hard (1996)","Comedy"
"5571521",39803,3256,5,1069480770,"Patriot Games (1992)","Action|Thriller"
"4531022",32319,588,5,830845638,"Aladdin (1992)","Adventure|Animation|Children|Comedy|Musical"
"5004154",35779,2302,4,1201466822,"My Cousin Vinny (1992)","Comedy"
"1808873",13290,4704,5,1091194572,"Hatari! (1962)","Adventure|Comedy"
"5296266",37899,1608,4.5,1202146402,"Air Force One (1997)","Action|Thriller"
"752995",5720,1641,3,942188600,"Full Monty, The (1997)","Comedy|Drama"
"2777816",20012,27592,4,1144654273,"Sympathy for Mr. Vengeance (Boksuneun naui geot) (2002)","Action|Crime|Drama|Thriller"
"2127127",15473,7366,2.5,1139233892,"Jersey Girl (2004)","Comedy|Drama|Romance"
"2848129",20562,494,3,935274590,"Executive Decision (1996)","Action|Adventure|Thriller"
"8951117",64163,592,4,945227801,"Batman (1989)","Action|Crime|Sci-Fi|Thriller"
"4461974",31816,1461,2.5,1100195298,"Vegas Vacation (1997)","Comedy"
"7799768",55935,527,4,1182169760,"Schindler's List (1993)","Drama|War"
"8806480",63049,7,3,1184631545,"Sabrina (1995)","Comedy|Romance"
"4130983",29563,1219,5,1199743696,"Psycho (1960)","Horror|Thriller"
"638351",4867,4411,3.5,1111690799,"Sons of Katie Elder (1965)","Western"
"3354563",24107,3481,5,974762092,"High Fidelity (2000)","Comedy|Drama|Romance"
"7237271",51707,3556,4,1180898291,"Virgin Suicides, The (1999)","Drama|Mystery"
"3375801",24254,3481,4,1042567706,"High Fidelity (2000)","Comedy|Drama|Romance"
"6304095",45024,1587,4,976296942,"Conan the Barbarian (1982)","Action|Adventure"
"8406246",60292,7420,4.5,1210647887,"Viva Las Vegas (1964)","Comedy|Musical|Romance"
"8561397",61391,34048,3,1222989922,"War of the Worlds (2005)","Action|Adventure|Sci-Fi|Thriller"
"3913259",28046,780,3,874355306,"Independence Day (a.k.a. ID4) (1996)","Action|Adventure|Sci-Fi|War"
"3804657",27327,31700,3,1171655831,"Because of Winn-Dixie (2005)","Children|Comedy|Drama"
"8954626",64186,1240,4,979774201,"Terminator, The (1984)","Action|Sci-Fi|Thriller"
"6443242",46059,5421,0.5,1226434388,"Dangerous Lives of Altar Boys, The (2002)","Drama"
"7410787",52941,22,2.5,1075597297,"Copycat (1995)","Crime|Drama|Horror|Mystery|Thriller"
"6052766",43178,3268,1,966656113,"Stop! Or My Mom Will Shoot (1992)","Action|Comedy"
"9030802",64720,3072,4,942918251,"Moonstruck (1987)","Comedy|Romance"
"2937363",21203,1020,4,1033870168,"Cool Runnings (1993)","Comedy"
"1912829",13982,3977,3,1004542920,"Charlie's Angels (2000)","Action|Comedy"
"8864720",63475,1466,3,1130360569,"Donnie Brasco (1997)","Crime|Drama"
"5033198",35979,2457,3,1039837758,"Running Scared (1986)","Action|Comedy"
"8770870",62777,7000,2.5,1078919378,"Hudson Hawk (1991)","Action|Adventure|Comedy"
"1892146",13841,3438,3,957111900,"Teenage Mutant Ninja Turtles (1990)","Action|Children|Comedy|Fantasy|Sci-Fi"
"7244987",51771,4305,3,1067119006,"Angel Eyes (2001)","Drama|Romance|Thriller"
"9437129",67573,453,4,834738333,"For Love or Money (1993)","Comedy"
"5476486",39069,7107,4,1099718430,"Foul Play (1978)","Comedy|Thriller"
"3888654",27881,1343,4,1143265676,"Cape Fear (1991)","Thriller"
"1008691",7587,3535,3,1165994545,"American Psycho (2000)","Comedy|Crime|Drama|Horror|Mystery|Thriller"
"9273010",66510,6953,3.5,1160247454,"21 Grams (2003)","Drama|Mystery|Romance"
"2832546",20438,471,4.5,1094757512,"Hudsucker Proxy, The (1994)","Comedy|Drama|Fantasy|Romance"
"5905440",42143,1288,4,939060941,"This Is Spinal Tap (1984)","Comedy|Musical"
"8405133",60287,2308,1,940131319,"Detroit 9000 (1973)","Action|Crime"
"3179457",22957,1210,4,1095788564,"Star Wars: Episode VI - Return of the Jedi (1983)","Action|Adventure|Sci-Fi"
"7828440",56147,1617,4,1208846062,"L.A. Confidential (1997)","Crime|Film-Noir|Mystery|Thriller"
"2675343",19378,2018,4,958800760,"Bambi (1942)","Animation|Children|Drama"
"2186747",15968,1721,5,927871584,"Titanic (1997)","Drama|Romance"
"5167878",36957,4087,1,993156891,"Big Shots (1987)","Adventure|Children|Comedy"
"5185656",37070,5610,2,1049317131,"Banger Sisters, The (2002)","Comedy|Drama"
"5627722",40208,1148,4.5,1202812708,"Wallace & Gromit: The Wrong Trousers (1993)","Animation|Children|Comedy|Crime"
"1291489",9475,1552,3.5,1137261136,"Con Air (1997)","Action|Adventure|Thriller"
"2564040",18586,2024,4,974715058,"Rapture, The (1991)","Drama|Mystery"
"7179404",51318,1243,4,968460592,"Rosencrantz and Guildenstern Are Dead (1990)","Comedy|Drama"
"9614075",68910,3744,2,1000296678,"Shaft (2000)","Action|Crime|Thriller"
"1001398",7532,596,3,1002646161,"Pinocchio (1940)","Animation|Children|Fantasy|Musical"
"7632060",54630,610,4,837610945,"Heavy Metal (1981)","Action|Adventure|Animation|Horror|Sci-Fi"
"9479623",67918,7444,2.5,1161195830,"13 Going on 30 (2004)","Comedy|Drama|Fantasy|Romance"
"8186356",58742,551,4,971602818,"Nightmare Before Christmas, The (1993)","Animation|Children|Fantasy|Musical"
"3082869",22330,3044,4,1225329871,"Dead Again (1991)","Mystery|Romance|Thriller"
"6495825",46449,8917,3,1178692434,"Team America: World Police (2004)","Action|Adventure|Animation|Comedy|Drama"
"9533563",68323,2012,3,1112003299,"Back to the Future Part III (1990)","Comedy|Sci-Fi|Western"
"9537311",68351,4119,4,1056278925,"Housekeeping (1987)","Comedy|Drama"
"3399447",24428,485,3,1204572980,"Last Action Hero (1993)","Action|Adventure|Comedy|Fantasy"
"2625034",18983,1729,4,1113930661,"Jackie Brown (1997)","Crime|Drama|Thriller"
"1654675",12127,454,4,835535402,"Firm, The (1993)","Drama|Thriller"
"5101131",36512,480,4,852754024,"Jurassic Park (1993)","Action|Adventure|Sci-Fi|Thriller"
"9239747",66232,4254,2,1080744089,"Crocodile Dundee in Los Angeles (2001)","Comedy|Drama"
"5109500",36577,480,3.5,1225249540,"Jurassic Park (1993)","Action|Adventure|Sci-Fi|Thriller"
"2576527",18663,1479,1,931797669,"Saint, The (1997)","Action|Romance|Thriller"
"4178268",29892,3274,1.5,1110737658,"Single White Female (1992)","Drama|Thriller"
"8540041",61214,19,2,845726913,"Ace Ventura: When Nature Calls (1995)","Comedy"
"3471903",24935,107,5,851586095,"Muppet Treasure Island (1996)","Adventure|Children|Comedy|Musical"
"1314313",9634,1982,4,962655955,"Halloween (1978)","Horror"
"3744638",26927,1266,4,938880846,"Unforgiven (1992)","Drama|Western"
"6314082",45073,1347,3,864295209,"Nightmare on Elm Street, A (1984)","Horror|Thriller"
"3900356",27958,253,3,846093536,"Interview with the Vampire: The Vampire Chronicles (1994)","Drama|Horror"
"5548903",39620,40959,3.5,1165646903,"Ice Harvest, The (2005)","Action|Comedy|Crime|Thriller"
"4295949",30691,1343,4.5,1065475464,"Cape Fear (1991)","Thriller"
"4526834",32293,3255,3.5,1066398707,"League of Their Own, A (1992)","Comedy|Drama"
"3064319",22160,380,3,840403140,"True Lies (1994)","Action|Adventure|Comedy|Romance|Thriller"
"5783246",41290,1020,3,841739310,"Cool Runnings (1993)","Comedy"
"9103614",65287,4006,4,945386599,"Transformers: The Movie (1986)","Adventure|Animation|Children|Sci-Fi"
"1425947",10470,1954,4,1218389141,"Rocky (1976)","Action|Drama|Romance"
"4150192",29701,267,1.5,1104716094,"Major Payne (1995)","Comedy"
"2109377",15342,2706,2,942966294,"American Pie (1999)","Comedy"
